i,Time,Data
1032,20.64,62.0
1033,20.66,61.0
1034,20.68,65480.0
1035,20.7,65480.0
1036,20.72,65.0
1037,20.74,62.0
1038,20.76,61.0
1039,20.78,65484.0
1040,20.8,65484.0
1041,20.82,66.0
1042,20.84,62.0
1043,20.86,60.0
1044,20.88,65472.0
1045,20.9,65484.0
1046,20.92,66.0
1047,20.94,62.0
1048,20.96,60.0
1049,20.98,65472.0
1050,21.0,65476.0
1051,21.02,65.0
1052,21.04,63.0
1053,21.06,59.0
1054,21.08,65472.0
1055,21.1,65472.0
1056,21.12,65.0
1057,21.14,62.0
1058,21.16,61.0
1059,21.18,65472.0
1060,21.2,65472.0
1061,21.22,67.0
1062,21.24,62.0
1063,21.26,61.0
1064,21.28,65476.0
1065,21.3,65472.0
1066,21.32,66.0
1067,21.34,62.0
1068,21.36,60.0
1069,21.38,65472.0
1070,21.4,65472.0
1071,21.42,65.0
1072,21.44,63.0
1073,21.46,61.0
1074,21.48,65472.0
1075,21.5,65484.0
1076,21.52,68.0
1077,21.54,63.0
1078,21.56,61.0
1079,21.58,65476.0
1080,21.6,65472.0
1081,21.62,67.0
1082,21.64,63.0
1083,21.66,60.0
1084,21.68,65480.0
1085,21.7,65480.0
1086,21.72,66.0
1087,21.74,63.0
1088,21.76,61.0
1089,21.78,65472.0
1090,21.8,65472.0
1091,21.82,67.0
1092,21.84,63.0
1093,21.86,60.0
1094,21.88,65480.0
1095,21.9,65472.0
1096,21.92,68.0
1097,21.94,63.0
1098,21.96,59.0
1099,21.98,65472.0
1100,22.0,65472.0
1101,22.02,66.0
1102,22.04,62.0
1103,22.06,61.0
1104,22.08,65472.0
1105,22.1,65480.0
1106,22.12,68.0
1107,22.14,62.0
1108,22.16,60.0
1109,22.18,65456.0
1110,22.2,65484.0
1111,22.22,68.0
1112,22.24,63.0
1113,22.26,61.0
1114,22.28,65472.0
1115,22.3,65476.0
1116,22.32,68.0
1117,22.34,62.0
1118,22.36,61.0
1119,22.38,65480.0
1120,22.4,65476.0
1121,22.42,67.0
1122,22.44,63.0
1123,22.46,62.0
1124,22.48,65472.0
1125,22.5,65480.0
1126,22.52,66.0
1127,22.54,62.0
1128,22.56,61.0
1129,22.58,65476.0
1130,22.6,65480.0
1131,22.62,66.0
1132,22.64,63.0
1133,22.66,60.0
1134,22.68,65480.0
1135,22.7,65472.0
1136,22.72,66.0
1137,22.74,64.0
1138,22.76,60.0
1139,22.78,65472.0
1140,22.8,65480.0
1141,22.82,67.0
1142,22.84,61.0
1143,22.86,59.0
1144,22.88,65472.0
1145,22.9,65480.0
1146,22.92,66.0
1147,22.94,62.0
1148,22.96,61.0
1149,22.98,65472.0
1150,23.0,65472.0
1151,23.02,68.0
1152,23.04,61.0
1153,23.06,61.0
1154,23.08,65464.0
1155,23.1,65480.0
1156,23.12,66.0
1157,23.14,64.0
1158,23.16,61.0
1159,23.18,65464.0
1160,23.2,65472.0
1161,23.22,65.0
1162,23.24,64.0
1163,23.26,60.0
1164,23.28,65476.0
1165,23.3,65480.0
1166,23.32,67.0
1167,23.34,61.0
1168,23.36,61.0
1169,23.38,65472.0
1170,23.4,65480.0
1171,23.42,67.0
1172,23.44,64.0
1173,23.46,61.0
1174,23.48,65472.0
1175,23.5,65480.0
1176,23.52,66.0
1177,23.54,62.0
1178,23.56,61.0
1179,23.58,65472.0
1180,23.6,65464.0
1181,23.62,69.0
1182,23.64,63.0
1183,23.66,61.0
1184,23.68,65476.0
1185,23.7,65480.0
1186,23.72,69.0
1187,23.74,60.0
1188,23.76,60.0
1189,23.78,65472.0
1190,23.8,65492.0
1191,23.82,66.0
1192,23.84,62.0
1193,23.86,60.0
1194,23.88,65472.0
1195,23.9,65476.0
1196,23.92,65.0
1197,23.94,63.0
1198,23.96,60.0
1199,23.98,65484.0
1200,24.0,65480.0
1201,24.02,66.0
1202,24.04,63.0
1203,24.06,61.0
1204,24.08,65480.0
1205,24.1,65480.0
1206,24.12,66.0
1207,24.14,63.0
1208,24.16,60.0
1209,24.18,65472.0
1210,24.2,65472.0
1211,24.22,66.0
1212,24.24,62.0
1213,24.26,61.0
1214,24.28,65484.0
1215,24.3,65472.0
1216,24.32,67.0
1217,24.34,63.0
1218,24.36,60.0
1219,24.38,65472.0
1220,24.4,65472.0
1221,24.42,66.0
1222,24.44,63.0
1223,24.46,62.0
1224,24.48,65472.0
1225,24.5,65480.0
1226,24.52,65.0
1227,24.54,62.0
1228,24.56,60.0
1229,24.58,65472.0
1230,24.6,65496.0
1231,24.62,67.0
1232,24.64,63.0
1233,24.66,62.0
1234,24.68,65472.0
1235,24.7,65484.0
1236,24.72,68.0
1237,24.74,63.0
1238,24.76,60.0
1239,24.78,65480.0
1240,24.8,65472.0
1241,24.82,67.0
1242,24.84,62.0
1243,24.86,60.0
